Name,Price
Tomato Pizza,₹180
Capsicum Pizza,₹180
Onion Pizza,₹180
Special Pizza,₹180
Jain Pizza,₹180
Cheese Pizza,₹185
Pineapple Pizza,₹185
All Topping Pizza,₹200
Sweet Corn Pizza,₹200
Mushroom Pizza,₹200
Crispy Schezwan Pizza,₹200
Special Pav Bhaji,₹130
Jain Pav Bhaji,₹135
Half Jain Pav Bhaji,₹135
Fry Pav Bhaji,₹140
Special Pav Bhaji with Kadak Pav,₹155
Cheese Pav Bhaji,₹160
Cheese Masala Pav Bhaji,₹170
Aditi Special Pav Bhaji,₹180
Paneer Khada Pav Bhaji,₹170
Bhaji,₹110
Masala Pav,₹120
Cheese Masala Pav,₹145
Pav Sandwich,₹130
Cheese Pav Sandwich,₹160
Tawa Pulao,₹170
Hariyali Tawa Pulao,₹180
Cheese Tawa Pulao,₹190
Paneer Tawa Pulao,₹190
Veg Frankie,₹100
Paneer Frankie,₹120
Cheese Frankie,₹120
Veg Burger,₹120
Cheese Burger,₹140
Veg Cheese Burger,₹140
Veg Hot Dog,₹120
Cheese Hot Dog,₹150
Garlic Roll,₹120
Family Garlic Roll,₹185
Cheese Roll,₹145
Family Cheese Roll,₹210
Garlic Cheese Roll,₹160
Family Garlic Cheese Roll,₹220
Masala Garlic Roll,₹170
Veg Clear Soup,₹120
Veg Sweet Corn Soup,₹120
Veg Manchow Soup,₹120
Veg Hot and Sour Soup,₹120
Special Veg Soup,₹120
Veg Dragon Soup,₹120
Veg Talumein Soup,₹120
Noodles Soup,₹120
Veg Ginger Soup,₹120
Veg Garlic Soup,₹120
Special Veg Wanton Soup,₹130
Veg Mushroom Soup,₹130
Mushroom Manchow Soup,₹130
Special Tum Yum Soup,₹130
Veg Manchurian Dry,₹180
Veg Chilly Dry,₹180
Veg Garlic,₹180
Veg Ginger,₹180
Veg Potato,₹180
Paneer Manchurian Dry,₹195
Paneer Chilly Dry,₹195
Mushroom Manchurian Dry,₹205
Mushroom Chilly Dry,₹205
Crispy Paneer,₹210
Paneer Schezwan Dry,₹200
Mushroom Schezwan Dry,₹215
Veg Lollipop,₹195
Chinese Idli Chilly,₹210
Cauliflower Manchurian Dry,₹180
Paneer in Hot Black Garlic Sauce,₹200
Cheese Croquettes,₹200
Veg Baby Corn Dry,₹200
Baby Corn Manchurian,₹200
Paneer Spring Roll,₹210
Mushroom Spring Roll,₹210
Cocktail Roll,₹210
Veg Crispy,₹205
Golden Fried Ring Onions,₹185
Crispy Fried Potato,₹190
Spring Roll,₹190
Veg 65,₹200
Paneer 65,₹220
Paneer Salt and Pepper,₹220
Paneer Crunchy,₹220
Baby Corn Crunchy,₹220
Veg Manchurian Gravy,₹190
Veg Chilly Gravy,₹200
Paneer Manchurian Gravy,₹210
Paneer Chilly Gravy,₹210
Mushroom Manchurian Gravy,₹220
Mushroom Chilly Gravy,₹225
Paneer Schezwan Gravy,₹220
Mushroom Schezwan Gravy,₹225
Veg Sweet and Sour Gravy,₹200
Mix Veg Schezwan Style Gravy,₹200
Veg Ball Garlic Sauce Gravy,₹200
Aditi Special Veg Combination,₹225
Special Green Pepper Sauce,₹220
Cauliflower Manchurian Gravy,₹200
Baby Corn Manchurian Gravy,₹225
Vegetable Green Garlic Sauce,₹215
Paneer Hunan Sauce,₹220
Paneer Hong Kong Sauce,₹220
Diced Vegetables in Thai Green Sauce,₹220
Diced Vegetables in Thai Red Sauce,₹220
Veg Hakka Noodles,₹180
Veg Schezwan Noodles,₹190
Veg Manchurian Noodles,₹210
Manchow Noodles,₹200
Veg Singapore Noodles,₹190
Veg Hong Kong Noodles,₹200
Veg Combination Noodles,₹200
Special Veg Dragon Noodles,₹210
Veg Garlic Noodles,₹190
Plain Noodles,₹170
Veg Ginger Noodles,₹190
American Chopsuey,₹200
Chinese Chopsuey,₹200
Veg Chowmein,₹190
Veg Fried Rice,₹180
Veg Schezwan Fried Rice,₹190
Mushroom Fried Rice,₹200
Singapore Fried Rice,₹200
Hong Kong Fried Rice,₹200
Combination Fried Rice,₹200
Paneer Fried Rice,₹200
Paneer Schezwan Fried Rice,₹210
Triple Schezwan Fried Rice,₹220
Jeera Fried Rice,₹160
Stew Rice,₹200
Noodles Rice,₹180
Five Treasure RIce,₹220
Manchurian Fried Rice,₹215
Jade Fried Rice,₹200
Corn Chilly Rice,₹200
Chowpati Bhel,₹70
Chinese Bhel,₹130
Punjabi Bhel,₹85
Makai Chewda Bhel,₹90
Sev Potato Puri,₹80
Dahi Potato Puri,₹110
Dahi Bhel,₹110
Basket Sev Puri,₹100
Papdi Chat,₹115
Pani Puri,₹50
Veg Sandwich,₹75
Cheese Sandwich,₹100
Veg Cheese Sandwich,₹105
Toast Sandwich,₹90
Cheese Toast Sandwich,₹110
Toast Butter Sandwich,₹60
Jam Butter Sandwich,₹60
Russian Sandwich,₹140
Cheese Chilly Toast Sandwich,₹170
Veg Cheese Grilled Sandwich,₹150
Mushroom Cheese Grilled Sandwich,₹170
Sweet Corn Cheese Grilled Sandwich,₹160
Garlic Cheese Grilled Sandwich,₹160
Chocolate Sandwich,₹130
Pineapple Sandwich,₹120
Sev Puri Grilled Sandwich,₹110
Fruit Salad,₹130
Fruit Salad with Ice Cream,₹150
Fruit Jelly with Ice Cream,₹150
Jelly with Ice Cream,₹130
Plain Jelly,₹115
Fruit Salad and Dry Fruit with Ice Cream,₹170
Fruit Salad with Jelly,₹140
Malai Kulfi [1 Slice],₹70
Kesar Pista Kulfi [1 Slice],₹70
Cold Coffee Milkshake,₹110
Chikoo Milkshake,₹100
Apple Milkshake,₹125
Pineapple Milkshake,₹125
Chocolate Milkshake,₹125
Banana Milkshake,₹110
Thandai Milkshake,₹140
Kesar Milkshake,₹125
Special Kesar Pista Milkshake,₹140
Pista Milkshake,₹130
Vanilla Milkshake,₹120
Rose Milkshake,₹120
Butterscotch Milkshake,₹130
Mazza [500 ml],₹38
Khara Lassi,₹70
Sweet Lassi,₹70
Butter Milk,₹55
Mango Lassi,₹110
Dry Fruit Lassi,₹165
Special Tea,₹30
Coffee,₹40
Filter Coffee,₹40
Bournvita,₹55
Hot Chocolate,₹55
Hot Milk,₹40
Aditi Special Falooda,₹180
Kesar Falooda,₹150
Royal Falooda,₹175
Kulfi Falooda,₹160
Mosambi Juice,₹95
Orange Juice,₹95
Munna Munni Juice,₹95
Pineapple Juice,₹95
Mara Mari Juice,₹95
Ganga Jamuna Saraswati Juice,₹95
Watermelon Juice,₹95
Cocktail Juice,₹115
Apple Juice,₹120
Grapes Juice,₹115
Anar Juice,₹120
Lemon Juice,₹60
Ginger Lemon Juice,₹70
Fresh Lemon Soda,₹70
Mango Juice,₹160
Pink Panther Mocktail,₹140
Green Cooler Mocktail,₹140
Kiwi Special Mocktail,₹155
Chickoo Chocolate Shake,₹145
Sitaphal Shake,₹165
Mango Shake,₹165
Water Melon Blossom,₹150
Pineapple Blossom,₹150
Orange Blossom,₹150
Shagun Blossom,₹150
Special Ginger Lemon Blossom,₹150
Special Cocktail Blossom,₹150
Blackcurrant Blossom,₹150
Dry Fruit Shake,₹230
Anjeer Shake,₹200
Kaju Anjeer Shake,₹200
Kaju Shake,₹200
Kaju Gulkand Shake,₹200
Kaju Mango Shake,₹200
Chocolate with Nuts Shake,₹200
Chikoo Chocolate with Nuts Shake,₹200
Badam Pista Shake,₹200
Cheese Garlic Bread,₹140
Chocolate Dosa,₹145
Pineapple Uttapam,₹145
Banana Uttapam,₹145
Potato Wada,₹60
Dahi Wada,₹95
Sabudana Wada,₹80
Potato Chips,₹95
Puri Bhaji,₹95
Puri [5 Pieces],₹50
Idli Fry,₹95
Dahi Idli,₹95
Butter Idli,₹80
