Name,Price
Grilled Cottage Cheese with Sriracha Sauce,₹580
Grilled Vegetable Garlic Pepper Sauce,₹580
Vegetable Steak with Mexicana Sauce,₹580
Hunter Chicken,₹675
Chicken Steak Sizzlers,₹675
Basa Peri Peri,₹730
Prawn Paprika,₹750
Butter Chicken with Garlic Naan,₹600
Assorted Mixed Meat Kebab Platter,₹1350
Minestrone Soup,₹270
Forest Mushroom Cappuccino Soup,₹280
Corn N Pepper Chowder Soup,₹280
Veg Lemon Coriander Soup,₹270
Veg Manchow Soup,₹270
Chicken Lemon Coriander Soup,₹290
Chicken Manchow Soup,₹290
Roasted Broccoli Cheese Chicken Soup,₹290
Corn n Pepper Chicken Chowder Soup,₹295
Veg Caesar Salads,₹360
Fatoush Salad,₹390
Rocket and Romaine Lettuce Salad,₹360
Chicken Caesar Salad,₹410
Assorted Seafood Peri Peri,₹475
Smoked Chicken Cobb and Crisp Bacon Salad,₹425
Buffalo Mozzarella pomodoro Basilico,₹395
Mezze Platter,₹595
Corn Jalapeno Cheddar Poppers,₹340
Creamy Chick Peas Hummus with Sumak Grilled Pita,₹320
"salsa,olive&pepper Hot Bruchettas",₹350
Mushroom Tokaz,₹360
Baked Nachos,₹360
Chargrilled Cottage Cheese,₹385
"Chilli Oyster Stir Fry Vegetable, Sprout, Pokchoy, Tofu",₹345
Crispy &Spicy Chicken Stick,₹380
Sicilian Garlic Chicken,₹395
Traditional Fish and Chips,₹525
Steam Oyster Chicken Fillet,₹450
Steam Oyster Basa Fillet,₹550
Sriracha Stir Fry Chicken,₹440
Prawns Peri Peri,₹580
Butter Garlic Prawns,₹595
Paneer Chilly,₹360
"Mushroom, Baby Corn, Broccoli, Pepper Chilly",₹360
Chicken Chilly,₹395
Chicken Hari Mirch,₹415
Salt N Pepper Chicken,₹415
Chicken Green Chilly Pepper,₹415
Hunan Prawn,₹570
Salt N Pepper Prawn,₹595
Prawn Pepper Chilly,₹595
Tandoori Mushroom,₹375
Paneer Hariyali tikka,₹380
Chilli Milli Murg Ke Tukde,₹425
Chicken Malai Tikka,₹425
Ras El Hanout Prawns Fillet,₹595
Chingri Tandoori,₹550
Fish Tikka Basa,₹525
Vegetable Paprikash,₹500
Cannelloni Spinach and Cheese,₹440
Lasagne Florentine,₹450
Rissotto of Pomodoro,₹525
Rissotto Corn Fungi Truffle,₹575
Black Pepper Chicken,₹530
Pollo Corn Pesto,₹540
Grilled Stuffed Chicken Breast,₹580
Brown Traditional Strongan Off,₹530
White Traditional Strongan Off,₹530
Hungarian Chicken,₹575
Chicken Burgendy,₹540
Grilled King Basa Chilli Cilantro,₹680
Chicken Lasagna,₹530
Paneer Chilly Gravy,₹360
Diced Veg Schezwan Gravy,₹340
"Mushroom, Baby Com, Broccoli Butter Garlic Sauce",₹360
Veg Thai Red Curry,₹350
Veg Thai Green Curry,₹350
Chicken Thai Green Curry Gravy,₹440
Chicken Thai Red Curry Gravy,₹440
Chicken Chilly Gravy,₹400
Hong Kong Chicken,₹440
Butter Garlic Sauce Chicken,₹400
Thai Green Curry Fish,₹610
Thai Red Curry Fish,₹610
Fish Thai Green Curry Fish,₹610
Fish Thai Red Curry Fish,₹610
Hong Kong Prawn,₹550
Hunan Prawn,₹550
Butter Garlic Sauce Prawn,₹600
Prawns with Veg Thai Green Curry,₹550
Prawns with Veg Thai Red Curry,₹550
Prawns Thai Green Curry,₹550
Prawns Thai Red Curry,₹550
Sri Lankan Curry Chicken,₹470
Sri Lankan Curry Prawns,₹610
Steamed Rice,₹150
Veg Fried Rice,₹270
Veg Hakka Noodles,₹280
Chicken Fried Rice,₹295
Chicken Hakka Noodles,₹300
Veg Schezwan Fried Rice,₹290
Chicken Schezwan Fried Rice,₹310
Veg Schezwan Hakka Noodles,₹295
Chicken Schezwan Noodles,₹325
Egg Fried Rice,₹285
Alla Margherita Pizza,₹360
Pizza Mediterranea,₹440
Mushroom Delight Pizza,₹460
Paneer Tikka Pizza,₹460
Bombay Rouge Pizza,₹460
California Pizza,₹460
Italia Pizza,₹460
Pizza a La Ortolana,₹460
