Name,Price
Chicken Spaghetti Aglio e Olio,₹595
Chicken 4 Cheese Rigatoni,₹675
Chicken Creamiest Fettuccini Alfredo,₹675
Penne Alfredo,₹555
Penne Chicken Alfredo,₹675
Chicken Pesto Basilico,₹615
Chicken Wild Mushroom Risotto,₹665
Spaghetti Aglio E Olio,₹475
Grandmamas Crusty Mac and Cheese,₹525
4 Cheese Rigatoni,₹555
Creamiest Fettuccine Alfredo,₹555
Burrata Alla Rosatella,₹595
Tomato Chilli Risotto,₹475
Truffle Spaghetti,₹565
Pesto Basilico,₹495
Wild Mushroom Risotto,₹545
Bibi Ji Ki Achari Khichdi,₹375
Green Thai Curry Vegetables,₹525
Laksa Style Khao Suey Vegetables,₹525
Chicken Pad Kra Pao,₹525
Green Thai Curry Chicken,₹645
Laksa Style Khao Suey Chicken,₹645
Grandmama's Roast Chicken,₹595
Home Style Grilled Chicken,₹575
Fish n Chips,₹595
Chicken Stroganoff,₹525
Shepard’s Pie,₹590
Charred Tomato and Basil Soup,₹250
Cream of Mushroom Soup,₹250
Roasted Pumpkin Soup,₹250
Greek Avocado,₹545
Nutrition Powerhouse,₹375
Roasted Beetroot and Malta Orange,₹345
Chicken Caesar,₹445
Sizzling Bloom Bread,₹425
Corn Ribs,₹325
Garlic Bread,₹245
French Fries,₹295
Grandmama Masala Fries,₹325
Falafel Grandmamas Hummus and Pita,₹375
Roasted Chickpeas Grandmas Hummus and Pita,₹325
Chilli Confit Grandmamas Hummus and Pita,₹325
Harissa Chicken Skewers,₹495
Paneer Chilli,₹425
Crystal Dumplings,₹455
Edamame and Truffle Dim Sum,₹595
Chicken Sriracha Dim Sum,₹495
Sizzling Loaded Fries,₹425
Tomato Chilli Arancini Balls,₹485
Nostalgic Fish Fingers,₹595
Chef Tom's kung Pao Mushroom,₹455
Butter Garlic Prawns,₹595
Falafel Shawarma,₹325
Chicken Shawarma,₹425
Mexican Wrap,₹345
Lamb Kebab Wrap,₹455
Veggie One Burger,₹425
Firecracker Chicken Burger,₹575
Barbecue Cottage Cheese Sandwich,₹475
Bombay Grill Sandwich,₹425
Chicken Club Sandwich,₹495
Mediterranean Vegetable Sandwich,₹425
Skinny Chicken Sandwich,₹375
French Toast,₹325
Parsi Akuri and Pav,₹295
Truffle Parmesan Scramble,₹425
Bird Eye Chilli Cheese Omelette,₹255
Three Cheese French Omelette,₹325
Fluffy 4 Egg White Omelette,₹395
Vietnamese Iced Coffee,₹275
Filter Coffee,₹195
Bumble Orange Cold Brew,₹275
Cold Brew Lemonade,₹245
Ice Cream Soda Cold Brew,₹295
Irish Coffee,₹275
Grandmama's Signature Hot Chocolate,₹295
Signature Cold Coffee,₹275
Choco Chill Mocha,₹325
Iced Latte,₹225
Flat White,₹235
Affogato,₹225
Cotardo,₹195
Traditional Cold Brew,₹245
Iced Americano,₹195
Americano,₹195
Cafe Latte,₹235
Cafe Macchiato,₹185
Cappuccino,₹235
Café Mocha,₹275
Kala Khatta,₹195
Masala Lemon,₹180
Country Orange Lemonade,₹275
Mint Lemonade,₹245
Watermelon Basil Cooler,₹275
Lemon Iced Tea,₹245
Lemongrass and Mint Iced Tea,₹245
Peach Iced Tea,₹245
Guava Chilli Cooler,₹245
Mango Passion Iced Tea,₹245
Lychee Lemon Iced Tea,₹245
Passion Fruit Iced Tea,₹245
Nutella Thick Shake,₹375
Brownie Thick Shake,₹355
Oreo Cookie Thick Shake,₹355
Vanilla Thick Shake,₹255
Chocolate Thick Shake,₹275
Strawberry Thick Shake,₹275
Salted Caramel Thick Shake,₹295
Fresh Orange Juice,₹325
Watermelon Juice,₹245
Ice Cream Soda,₹215
Fresh Lime Soda,₹195
Fresh Lime Water,₹195
Hot Skillet Cherry Apple Pie,₹475
Mud Cake,₹325
Gooey Chocolate Decadence,₹345
Salted Caramel Cheese Cake,₹325
Grandmama's Biscuit Cake,₹295
Jain Sizzling Bloom Bread,₹425
Jain Corn Ribs,₹325
Jain Greek Avocado,₹545
Jain Nutrition Powerhouse,₹375
Jain Creamiest Fettuccini Alfredo,₹555
Jain Burrata Alla Rosatella,₹595
Jain Barbecue Cottage Cheese Sandwich,₹475
Barbeque Chicken Pizza with Garlic Bread,₹630
Bombay Grill Sandwich with Masala Fries,₹585
Chicken Club Sandwich with Masala Fries,₹640
Grandmama's Special Pizza with Garlic Bread,₹680
Grandmama's Crusty Mac and Cheese with Masala Fries,₹775
Home Style Grilled Chicken with Iced Tea,₹575
Corn & Jalapeno Pizza 11 Inches,₹455
Barbeque Chicken Pizza 11 Inches,₹595
Barbeque Cottage Cheese Pizza 11 Inches,₹595
Fiamma Pizza 11 Inches,₹455
Four Cheese Pizza 11 Inches,₹595
Grandmama's Special Pizza 11 Inches,₹595
Hot & Spicy Chicken Pizza 11 Inches,₹595
Margherita Pizza 11 Inches,₹425
Hot & Spicy Cottage Cheese Pizza 11 Inches,₹595
Peri Peri Chicken Pizza 11 Inches,₹565
Peri Peri Cottage Cheese Pizza 11 Inches,₹565
The Veggie Delight Pizza 11 Inches,₹565
The Burratina Pizza 11 Inches,₹595
Truffle Fungi Pizza 11 Inches,₹595
Jain Bibiji ki Achari Khichidi,₹375
Prawn and Chives Dim Sum,₹590
