Name,Price
Cream of Tomato Soup,₹160
Cream of Veg Soup,₹160
Cream of Mushroom Soup,₹160
French Onion Soup,₹160
Palak Shorba,₹160
Cream of Palak Soup,₹160
Cream of Chicken Soup,₹180
Cream of Lamb Soup,₹240
Veg Manchow Soup,₹165
Veg Hot and Sour Soup,₹165
Veg Sweet Corn Soup,₹165
Veg Clear Soup,₹160
Mushroom Manchow Soup,₹165
Veg Noodles Soup,₹165
Chicken Manchow Soup,₹180
Chicken Hot and Sour Soup,₹180
Chicken Sweet Corn Soup,₹180
Chicken Clear Soup,₹180
Chicken Noodles Soup,₹180
Lamb Manchow Soup,₹250
Prawns Noodles Soup,₹220
Seafood Manchow Soup,₹250
Paneer Tikka,₹270
Paneer Pahadi Tikka,₹280
Paneer Malai Tikka,₹280
Veg Seekh Kabab,₹260
Mushroom Tandoori,₹260
Baby Corn Tandoori,₹260
Gobi Tandoori,₹230
Veg Platter,₹850
Veg Haseena Kabab,₹350
Tandoori Aloo,₹220
Aloo Multani Kabab,₹360
Chicken Tandoori,₹240
Chicken Pahadi Tandoori,₹270
Chicken Arabi Tandoori,₹270
Chicken Tikka,₹300
Chicken Pahadi Tikka,₹310
Chicken Reshmi Kabab,₹310
Chicken Kalmi Kabab,₹410
Chicken Tangdi Kabab,₹400
Chicken Karela Kabab,₹600
Chicken Achari Kabab,₹300
Chicken Banjara Kabab,₹350
Chicken Dum Kabab,₹450
Chicken Tiranga Kabab,₹450
Chicken Adam Shahi Kabab,₹400
Rozali Kabab,₹460
Noori Kabab,₹450
Chicken Seekh Kabab,₹340
Chicken Kalimiri Kabab,₹340
Chicken Haseena Kabab,₹410
Chicken Platter,₹950
Hara Bhara Kabab,₹280
Shanghai Potato,₹250
Shanghai Paneer,₹260
Shanghai Veg,₹250
Paneer Satay,₹300
Veg Delight,₹240
Veg Manchurian,₹220
Veg 65,₹230
Gobi Manchurian,₹220
Gobi Chilli,₹220
Mushroom Manchurian,₹240
Mushroom Chilli,₹240
Veg Chilli,₹220
Veg Garlic,₹230
Paneer Manchurian,₹240
Paneer Chilli,₹240
Paneer 65,₹250
Paneer Garlic,₹250
Paneer Crispy,₹270
Veg Lollipop,₹240
Veg Sismi,₹250
Veg Crunchy,₹250
Veg Crispy,₹250
Veg Schezwan,₹240
Paneer Schezwan,₹260
Golden Fried Baby Corn,₹240
Chana Chilli Dry,₹220
Sukka Chicken,₹250
Chicken Masala Dry,₹250
Chicken Lollipop,₹280
Chicken Sismi,₹290
Chicken Crunchy,₹300
Chicken Crispy,₹300
Chicken Chilli,₹250
Chicken Manchurian,₹250
Chicken Garlic,₹270
Chicken 65,₹270
Chicken Satay,₹300
Chicken China Town,₹450
Chicken Lamb,₹300
Chicken Roast,₹290
Boneless Chicken Roast,₹330
Mutton Roast,₹500
Mutton Sukka,₹260
Veg Jaipuri,₹250
Veg Kolhapuri,₹230
Veg Lahori,₹240
Veg Makhanwala,₹240
Veg Kadai,₹250
Veg Handi,₹250
Navratan Korma,₹270
