Name,Price
Idli Wada,₹89
Masala Dosa,₹109
Masala Uttapam,₹129
Medu Wada,₹89
Mysore Masala Dosa,₹119
Mysore Sada Dosa,₹99
Navratree Spl Dosa,₹179
Neer Dosa,₹99
Onion Uttapam,₹119
Paper Dosa,₹149
Paper Masala Dosa,₹169
Rava Masala Dosa,₹129
Rava Onion Masala Dosa,₹129
Rava Sada Dosa,₹119
Sada Dosa,₹89
Steam Idli,₹89
Tomato Uttapam,₹109
Uttapam Plain,₹89
Batata Bhajiya,₹129
Batata Vada,₹119
Cheese Pakoda,₹149
Dahi Missal Pav,₹119
Dahi Vada,₹89
Kanda Bhajiya,₹129
Missal Pav,₹79
Paneer Pakoda,₹149
Poori Bhaji,₹119
Poori Plate,₹79
Sheera,₹89
Tomato Cheese Omelette,₹139
Tomato Omelette,₹119
Upma,₹89
Usal Pav,₹69
Veg Cutlet,₹99
Veg Pakoda,₹139
Potato Chips,₹99
Sabudana Khichdi,₹99
Sabudana Wada,₹99
Sweet Kachori,₹109
Bread Butter,₹69
Bread Butter Jam,₹79
Toast Bread Butter Jam,₹89
Toast Butter,₹79
Veg Cheese Grilled Sandwich,₹139
Veg Cheese Sandwich,₹129
Veg Club Sandwich,₹149
Veg Grilled Sandwich,₹129
Veg Sandwich,₹99
Veg Toast Sandwich,₹109
Butter Pav,₹20
Cheese Pav Bhaji,₹189
Jain Cheese Pav Bhaji,₹189
Jain Pav Bhaji,₹169
Khada Pav Bhaji,₹189
Mumbai Pav Bhaji,₹169
Navratree Spl Pav Bhaji,₹209
Only Bhaji,₹129
Paneer Pav Bhaji,₹189
Plaine Pav,₹15
Alfredo Pasta,₹239
Arabiatta Pasta,₹239
Griled Veg Lasanga,₹269
Nachooos,₹249
Pesto Sauce Pasta,₹259
Boondi Raita,₹109
Curd,₹69
Fruit Salad,₹159
Fruit With Ice Cream Salad,₹179
Fry Papad,₹39
Green Salad,₹119
Masala Papad,₹49
Pineapple Raita,₹129
Roasted Papad,₹35
Veg Raita,₹119
Cream Of Spinach (Palak),₹169
Hot N Sour,₹169
Manchow Soup,₹159
Sweet Corn,₹169
Tomato Soup,₹159
Veg Clear Soup,₹149
Corn Cheese Ball,₹259
Gobi Manchurian Dry,₹219
Idli Chilli Dry,₹189
Mushroom Chilli,₹239
Mushroom Crispy,₹239
Paneer 65 Dry,₹249
Paneer Chilli Dry,₹229
Paneer Crispy,₹239
Paneer In Barbeque Sauce,₹259
Paneer In Black Bean Sauce,₹259
Paneer In Hot Garlic Sauce,₹259
Paneer In Hunan Sauce,₹259
Paneer Kung Pao,₹269
Paneer Satay Dry,₹239
Paneer Spring Roll,₹239
Soyabean Chilli,₹189
Veg 65 Dry,₹239
Veg Chilli Dry,₹209
Veg Crispy,₹219
Veg Lollypop,₹279
Veg Manchurian Dry,₹209
Veg Spring Roll,₹219
Aloo Corn Tikki,₹219
Hara Bhara Kabab,₹229
Paneer Malai Tikka,₹269
Paneer Pahadi,₹249
Paneer Tikka,₹249
Tandoori Aloo,₹219
Veg Platter,₹479
Veg Sheekh Kebab,₹249
Mushroom Chilli Gravy,₹239
Paneer Butter Garlic Sauce,₹269
Paneer Chilli Gravy,₹239
Veg Chilli Gravy,₹219
Veg Manchurian Gravy,₹219
Combination Fried Rice,₹249
Hong Kong Fried Rice,₹239
Lemon Fried Rice,₹239
Mix Veg Fride Rice,₹239
Mushroom Fried Rice,₹229
Schezwan Fried Rice,₹219
Singapore Fride Rice,₹239
Triple Schezwan Fried Rice,₹269
Veg Fried Rice,₹209
Veg Manchurian Fried Rice,₹269
Veg Pot Rice,₹299
Veg Thai Curry (Red & Green),₹299
Hong Kong Noodles,₹229
Manchurian Noodles,₹259
Schezwan Noodles,₹219
Singapore Noodles,₹229
Triple Schezwan Noodles,₹259
Veg Hakka Noodles,₹209
Aloo Methi Masala,₹189
Aloo Mutter,₹169
Baigan Bharta,₹199
Baigan Masala,₹169
Bhindi Masala,₹189
Butter Paratha,₹79
Chana Masala,₹209
Chhole Bhatura,₹239
Combo Lunch Tray,₹239
Dum Aloo Punjabi,₹229
Green Peas Masala,₹199
Green Peas Palak,₹209
Kaju Cheese Masala,₹279
Kaju Curry,₹269
Kaju Mutter Masala,₹259
Lasooni Palak,₹189
Mix Veg,₹209
Mushroom Masala,₹249
Mushroom Mutter Masala,₹249
Paneer Pasanda,₹239
Plain Palak,₹169
Sarso Da Saag,₹249
Tamatar Bharta,₹179
Veg Bhuna,₹259
Veg Hyderabadi,₹239
Veg Jaipuri,₹239
Veg Jalfrezi,₹239
Veg Keema Masala,₹239
Veg Kolhapuri,₹209
Veg Korma,₹219
Veg Upahar,₹279
Mushroom Handi,₹269
Mushroom Kadai,₹269
Navratree Spl Veg,₹299
Veg Afgani,₹289
Veg Handi,₹259
Veg Kadai,₹259
Veg Koliwada,₹249
Veg Maharaja,₹289
Veg Maratha,₹289
Veg Navratan,₹269
Veg Patiala,₹289
Mushroom Kolhapuri,₹239
Paneer Afgani,₹289
Paneer Bhurji,₹249
Paneer Butter Masala,₹259
Paneer Do Pyaza,₹269
Paneer Handi,₹269
Paneer Kadai,₹269
Paneer Kaju Curry,₹269
Paneer Kolhapuri,₹239
Paneer Koliwada,₹259
Paneer Kulcan,₹289
Paneer Lababdar,₹289
Paneer Makhanwala,₹249
Paneer Masala,₹239
Paneer Mushroom Masala,₹269
Paneer Mutter,₹239
Paneer Noorani Handi,₹289
Paneer Palak,₹239
Paneer Tikka Masala,₹269
Cheese Kofta,₹279
Malai Kofta,₹259
Paneer Kofta,₹269
Veg Kofta,₹249
Cheese Tawa Pulav,₹249
Khada Tawa Pulav,₹259
Mushroom Tawa Pulav,₹239
Paneer Tawa Pulav,₹239
Veg Tawa Masala,₹259
Veg Tawa Paneer Masala,₹269
Veg Tawa Pulav,₹229
Dal Fry,₹169
Dal Kolhapuri,₹179
Dal Makhani,₹249
Dal Palak,₹189
Dal Tadka,₹179
Curd Rice,₹209
Dal Khichdi,₹209
Dal Khichdi Tadka,₹219
Dal Palak Khichdi,₹219
Dum Biryani,₹239
Hyderabadi Biryani,₹239
Jeera Rice,₹169
Kolhapuri Biryani,₹249
Lemon Rice,₹209
Mushroom Biryani,₹249
Navratree Spl Biryani,₹289
Paneer Biryani,₹239
Paneer Mushroom Biryani,₹259
Paneer Pulav,₹219
Paneer Tikka Biryani 1kg,₹1000
Steam Rice,₹139
Steam Rice Half,₹69
Veg Biryani,₹209
Veg Biryani 1 Kg,₹750
Veg Pulav,₹209
Apple Juice,₹99
Ganga Jamuna,₹119
Maramari,₹119
Mosambi Juice,₹99
Orange Juice,₹99
Pineapple Juice,₹109
Watermelon Juice,₹119
Cornetto Ice Creams,₹70
Cornetto Ice Cream,₹70
Kesar Falooda,₹139
Kesar Pista Kulfi,₹80
Kulfi Falooda,₹169
Malai Kulfi,₹60
Navratree Spl Falooda,₹189
Rose Falooda,₹139
3 Sister Beer,₹100
Black Tea,₹40
Butter Milk,₹49
Coffee,₹50
Diet Coke,₹60
Dry Fruits Lassi,₹119
Extra,₹30
Filter Coffee,₹50
Fresh Lime Juice,₹59
Fresh Lime Soda,₹69
Ice Ceram,₹35
Jaljeera Soda,₹69
Kesar Lassi,₹109
Mango Lassi,₹99
Milk,₹59
Miner Water 500,₹20
Minral Water,₹20
Rose Lassi,₹99
Sikandar Sharbat,₹79
Soft Drink Tp,₹10
Soft Drinks 250ml,₹20
Soft Drinks 500 Ml,₹60
Spl Tea,₹50
Sweet Lassi,₹89
Tea,₹40
Chikoo Milk Shake,₹139
Chocolate Milk Shake,₹139
Cold Coffee,₹109
Dry Fruits Milk Shake,₹169
Mango Milk Shake,₹159
Strawberry Milk Shake,₹149
Vanila Milk Shake,₹139
Caramel Custerd,₹149
Chocolate Ice Cream Bowl,₹129
Gajar Halwa,₹180
Gulab Jambun 3 Pc,₹119
Kesar Pista Ice Cream Bowl,₹139
Phireni,₹179
Strawberry Ice Cream Bowl,₹129
Vanila Ice Cream Bowl,₹129
