Name,Price
Caramel Custard,₹80
Gulab Jamun,₹80
Butter Pav Bhaji,₹220
Chatni Masala Pav,₹180
Cheese Butter Khada Pav Bhaji,₹270
Cheese Butter Pav Bhaji,₹260
Cheese Masala Pav,₹260
Cheese Toast Pav Bhaji,₹260
Jain Butter Pav Bhaji,₹220
Jain Cheese Butter Pav Bhaji,₹260
Jain Khada Butter Pav Bhaji,₹260
Jain Masala Butter Pav Bhaji,₹280
Jain Toast Khada Pav Bhaji,₹260
Jain Toast Masala Pav Bhaji,₹300
Khada Butter Pav Bhaji,₹230
Lassun Chatni,₹80
Masala Butter Pav Bhaji,₹310
Masala Pav (2 Pieces),₹200
Only Butter Bhaji,₹180
Only Jain Butter Bhaji,₹200
Only Khada Butter Bhaji,₹210
Pappilon Special Pav Bhaji,₹300
Pav Sandwich (2 Pieces),₹200
Pav [single],₹20
Plain Pav,₹10
Plain Toast Pav (2 Pieces),₹35
Toast Butter Pav Bhaji,₹240
Toast Khada Pav Bhaji,₹260
Toast Pav (2 Pcs),₹40
Tost Masala Pav (2 Pieces),₹230
Bbq Paneer Pizza,₹330
Cheese Onion Capsicum Pizza,₹300
Cheese Pizza,₹300
Farm House Pizza,₹330
Magerita Pizza,₹300
Paani Puri Pizza,₹300
Paneer Tikka Pizza,₹330
Bread Butter,₹90
Bread Slice (Single),₹15
Bread Toast Butter,₹110
Chatani Sandwich,₹90
Cheese Chilly Toast,₹210
Cheese Grill Sandwich,₹230
Cheese Sandwich,₹200
Cheese Toast Sandwich,₹210
Club Grill Sandwich,₹250
Club Sandwich,₹220
Jam Bread,₹80
Jam Toast,₹90
Russian Sandwich,₹220
Toast Omelet Sandwich,₹170
Toast Sandwich,₹130
Tomato Omelet Sandwich,₹160
Tomato Sandwich,₹130
Veg Cheese Grill Sandwich,₹240
Veg Cheese Sandwich,₹200
Veg Cheese Toast Sandwich,₹210
Veg Grill Sandwich,₹200
Vegetable Sandwich,₹130
Cheese Corn Balls,₹260
Cheese Garlic Bread (4 Pieces),₹200
Cheesy Fries,₹200
Cheesy Fries With Cottage Cheese,₹260
Garlic Bread (4 Pieces),₹150
Paneer Bruchetta,₹280
Butter Masala Dosa,₹220
Butter Paper Masala Dosa,₹360
Butter Paper Sada Dosa,₹330
Butter Rava Masala Dosa,₹210
Butter Rava Sada Dosa,₹190
Butter Sada Dosa,₹180
Cheese Masala Dosa,₹220
Cheese Mushroom Dosa,₹260
Cheese Pakoda,₹250
Cheese Paper Masala Dosa,₹210
Cheese Paper Sada Dosa,₹210
Cheese Sada Dosa,₹190
Cheese Uttapam,₹200
Chopsuey Dosa,₹210
Dahi Vada,₹170
Ghee Dosa,₹190
Ghee Masala Dosa,₹210
Idli Butter,₹160
Idli Dahi,₹170
Idli Fry,₹160
Idli Masala,₹190
Idli Sambhar,₹120
Idli Vada,₹140
Kachori,₹140
Masala Dosa,₹170
Masala Uttapam,₹190
Mix Veg Pakoda,₹210
Mysore Masala Dosa (green),₹190
Mysore Sada Dosa (green),₹170
Onion Uppapam,₹190
Palak Dosa,₹190
Palak Masala Dosa,₹210
Paneer Dosa,₹250
Paneer Pakoda,₹250
Paneer Pudina Tandoori,₹350
Paneer Tikka Tandoor,₹350
Paper Masala Dosa,₹310
Paper Sada Dosa,₹270
Pav Bhaji Dosa,₹240
Potato Bhaji,₹100
Potato Chips,₹160
Potato Toast,₹140
Puri Bhaji,₹160
Rava Dosa,₹170
Rava Masala Dosa,₹190
Rava Onion,₹180
Rava Onion Masala,₹200
