Name,Price
Diet Pasta,₹239
White Sauce Pasta,₹329
Red Sauce Pasta,₹329
Pink Sauce Pasta,₹329
Orange Pasta,₹349
Green Pasta,₹399
Paneer Pasta,₹459
Firegun Cheesy Pasta,₹439
Spicy Garlic Pasta,₹379
Broccoli and Olives Pasta,₹429
Firegun Maharaja Pasta,₹559
Plain Cheese Pizza [7 inches],₹209
Corn and Cheese Pizza [7 inches],₹239
Classic Veg Pizza [7 inches],₹269
Tandoori Paneer Pizza [7 inches],₹299
Peri Peri Paneer Pizza [7 inches],₹329
Firegun Pizza [7 inches],₹349
Plain Garlic Bread [5 Pieces],₹89
Cheese Garlic Bread [5 Pieces],₹189
Peri Peri Cheese Garlic Bread [5 Pieces],₹199
Cheese Chilli Garlic Bread [5 Pieces],₹229
Corn Cheese Garlic Bread [5 Pieces],₹229
Melted Cheese Garlic Bread [5 Pieces],₹259
Jalapeno and Olives Cheese Garlic Bread [5 Pieces],₹259
Special Garlic Bread [5 Pieces],₹299
Nachos Plain Cheese Sauce,₹239
Nachos Salsa Cheese Sauce,₹279
Pasta Hub Special Nachos,₹389
