Name,Price
Penne Pasta Meal,₹350
Spaghetti Pasta Meal,₹350
Paneer Makhani Meal,₹350
Butter Chicken Meal,₹350
Paneer Shawarma Meal,₹350
Chicken Shawarma Meal,₹350
Penne Arrabbiata,₹300
Penne In Cream Cheese Sauce,₹300
Penne In Mixed Sauce,₹300
Spagheti In Basil Pesto Sauce,₹300
Spaghetti In Mushroom Cream Sauce,₹300
Penne Arrabbiata Chicken,₹330
Penne In Cream Cheese Sauce Chicken,₹330
Penne In Mixed Sauce Chicken,₹330
Spagheti In Basil Pesto Sauce Chicken,₹330
Spaghetti In Mushroom Cream Sauce Chicken,₹330
Hyderbadi Anda Biryani,₹350
Bombay Anda Biryani,₹350
Awadhi Anda Biryani,₹350
Dal Khichdi,₹250
Curd Rice,₹220
Awadhi Biryani,₹350
Hyderabadi Biryani,₹350
Bombay Biryani,₹350
Paneer Makhani Biryani,₹350
Butter Chicken Biryani,₹350
Awadhi Chicken Biryani,₹350
Hyderabadi Chicken Biryani,₹350
Bombay Chicken Biryani,₹350
Amritsari Paneer Cheese Kulcha,₹250
Amritsari Aloo Kulcha,₹250
Mixed Paratha,₹250
Aloo Paratha,₹250
Chilli Cheese Paratha,₹250
"Margherita Pizza 10""",₹275
"Veggie Delight Pizza 10""",₹300
"Roasted Mushroom & Garlic Pizza 10""",₹320
"Hot N Spicy Chicken Pizza 10""",₹330
"Bbq Chicken Pizza 10""",₹330
Garlic Bread,₹180
Garlic Bread With Cheese,₹230
Fish N Chips,₹330
Patrani Fish Fingers 6 Pcs,₹290
Chilli Cheese Toast,₹250
Nachos With Mixed Veg & Cheese,₹200
Nachos With Chicken & Cheese,₹220
Hummus With Grilled Vegetables,₹300
Hummus With Pan Fried Chicken,₹300
Farm Fresh Kulhad Pizza,₹220
BBQ Chicken Kulhad Pizza,₹220
Classic Pav Bhaji,₹175
Cheese Pav Bhaji,₹195
Desi Style Egg Bhurji Pav,₹170
Cheese Egg Bhurji Pav,₹195
Chicken Kheema Egg Bhurji Pav,₹220
Muttton Kheema Egg Bhurji Pav,₹260
Kheema Pav,₹350
Paneer Butter Masala Roll,₹180
Chicken Hariyali Roll,₹180
Butter Chicken Roll,₹180
Double Egg Roll,₹170
Paneer Shawarma Roll,₹180
Chicken Shawarma Roll,₹180
Paneer Pesto Sandwich,₹175
Chilli Cheese Sandwich,₹175
Chicken Shawarma Sandwich,₹175
Peri Peri Chicken Sandwich,₹175
Sweet Lassi,₹120
Mango Lassi,₹120
Masala Chaas,₹100
Lemon Iced Tea,₹120
Apple Iced Tea,₹120
Peach Iced Tea,₹120
Passion Fruit Iced Tea,₹120
Sugarcane Iced Tea,₹120
Sugarcane Cold Brew,₹120
Sugarcane Juice,₹100
Baileys Irish Shake,₹200
Kitkat Shake,₹200
Oreo Cookie Shake,₹200
Red Velvet Shake,₹200
Chocolate Brownie Shake,₹200
Blueberry Cheesecake Shake,₹200
Apple Cinnamon Muffin (3 Pcs),₹150
Chocochip Muffin (3 Pcs),₹150
Cheese Croissant (2 Pcs),₹160
Cinnamon Roll (2 Pcs),₹140
Chocolate Croissant (2 Pcs),₹160
Chicken Croissant (2 Pcs),₹160
Blonde Walnut Brownie (3 Pcs),₹180
Goey Red Velvet Brownie (3 Pcs),₹180
Choco Mocha Brownie (3 Pcs),₹180
Mix Veg Puff (2 Pcs),₹80
BBQ Chicken Puff (2 Pcs),₹80
Classic Belgian Waffles,₹210
Chocolate Mousse,₹160
Tiramisu,₹160
Vertigo,₹200
