Name,Price
Steam Idli,₹100
Idli Medu Wada,₹105
Idli Potato Wada Mix,₹105
Idli Butter,₹105
Idli Dahi,₹120
Idli Fry,₹115
Medu Wada,₹110
Potato Wada,₹100
Potato Medu Wada (Mix),₹110
Wada Usal,₹110
Dahi Wada,₹125
Kanda Bhajia,₹140
Kanda Batata Bhajia Mix,₹140
Batata Bhajia,₹140
Veg Cutlet,₹110
Veg Pakoda,₹155
Paneer Pakoda,₹185
Cheese Pakoda,₹190
Puri Bhaji,₹125
Puri Shrikhand,₹180
Puri Amrus (Seasonal),₹220
Plate Puri,₹100
Pav Single (Plain),₹10
Usal Pav (2 Pcs Pav),₹110
Misal Pav (2 Pcspav),₹100
Misal Only,₹100
Usal Only,₹100
Dahi Misal(2 Pcspav),₹125
Dahi Misal Only,₹115
Sabudana Wada,₹115
Sweet Kachori,₹120
Sabudana Wada Kachori Mix,₹125
Sabudana Khichadi,₹115
Potato Toast,₹115
Potato Chips,₹120
Shrikhand,₹105
Amras (Seasonal),₹150
Gulab Jamun (2 Pcs),₹120
Gajar Halwa,₹155
Dosa Sada,₹110
Dosa Butter Sada,₹120
Dosa Cheese Sada,₹125
Dosa Paneer Sada,₹115
Dosa Mysore Sada,₹115
Dosa Mysore Butter Sada,₹125
Dosa Mysore Cheese Sada,₹130
Dosa Mysore Paneer Sada,₹130
Dosa Masala,₹115
Dosa Butter Masala,₹125
Dosa Cheese Masala,₹130
Dosa Paneer Masala,₹130
Dosa Mysore Masala,₹130
Dosa Mysore Butter Masala,₹139
Dosa Mysore Cheese Masala,₹150
Dosa Mysore Paneer Masala,₹150
Rava Masala Dosa,₹120
Rava Butter Masala Dosa,₹130
Rava Cheese Masala Dosa,₹140
Rava Paneer Masala Dosa,₹125
Rava: Onion Masala Dosa,₹140
Rava Onion Butter Masala Dosa,₹140
Rava Onion Cheese Masala Dosa,₹145
Rava Onion Paneer Masala Dosa,₹145
Paper Masala Dosa,₹220
Paper Butter Masala Dosa,₹260
Paper Cheese Masala Dosa,₹260
Paper Paneer Masala Dosa,₹260
Rava Sada Dosa,₹115
Rava Butter Sada Dosa,₹125
Rava Cheese Sada Dosa,₹130
Rava Paneer Sada Dosa,₹130
Rava Onion Sada Dosa,₹120
Rava Onion Butter Sada Dosa,₹130
Rava Onion Cheese Sada Dosa,₹135
Rava Onion Paneer Sada Dosa,₹135
Paper Sada Dosa,₹185
Paper Butter Sada Dosa,₹230
Paper Cheese Sada Dosa,₹230
Paper Paneer Sada Dosa,₹230
Dosa Green Sada,₹135
Dosa Green Masala,₹140
Dosa Spring,₹155
Dosa Schezwan Spring,₹160
Dosa Schezwan Sada,₹150
Dosa Schezwan Masala,₹155
Dosa Bhaji,₹160
Coconut Uttapam,₹130
Small Golmal Dosa,₹140
Dosa Priyanka Special,₹175
Uttapam Cumchi,₹120
Uttapam David,₹120
Uttapam Plain,₹110
Uttapam Butter,₹120
Uttapam Cheese,₹125
Uttapam Paneer,₹125
Uttapam Onion,₹115
Uttapam Onion Butter,₹125
Uttapam Onion Cheese,₹135
Uttapam Onion Paneer,₹135
Uttapam Masala,₹125
Uttapam Masala Butter,₹135
Uttapam Masala Cheese,₹140
Uttapam Masala Paneer,₹140
Tomato Uttapam,₹120
Tomato Butter Uttapam,₹125
Tomato Cheese Uttapam,₹135
Tomato Paneer Uttapam,₹135
Tomato Onion Uttapam,₹125
Tomato Onion Butter Uttapam,₹135
Tomato Onion Cheese Uttpam,₹140
Tomato Onion Paneer Uttapam,₹140
Sandwich Veg,₹110
Sandwich Toast Veg,₹120
Sandwich Chutney,₹95
Sandwich Only Cheese,₹140
Sandwich Veg Cheese,₹135
Sandwich Only Cheese Toast,₹145
Sandwich Veg Cheese Toast,₹145
Sandwich Omlet,₹120
Sandwich Toast Omlet,₹125
Sandwich Cheese Omlet,₹130
Sandwich Cheese Toast Omlet,₹135
Sandwich Club,₹160
Sandwich Russian,₹165
Sandwich Italian,₹165
Sandwich Veg Grilled,₹145
Sandwich Veg Cheese Grilled,₹155
Sandwich Only Cheese Grilled,₹155
Bread Butter,₹100
Bread Butter With Jam,₹105
Bread Toast Butter,₹120
Bread Toast Butter Jam,₹115
Bread Slice (2 Pcs),₹20
Priyanka Special Pav Bhaji,₹215
Pav Bhaji,₹180
Pav Bhaji Cheese,₹205
Pav Bhaji Paneer,₹195
Pav Bhaji Jain,₹185
Pav Bhaji Cheese Jain,₹212
Pav Bhaji Cheese Paneer,₹215
Pav Bhaji Khada,₹190
Pav Bhaji Khada Cheese,₹217
Pav Bhaji Khada Paneer,₹217
Pav Bhaji Paneer Jain,₹205
Pav Bhaji Cheese Paneer Jain,₹215
Pav Masala (2Pcs),₹167
Pav Masala Cheese (2Pcs),₹188
Pav Masala Paneer (2Pcs,₹180
Only Bhaji,₹165
Only Bhaji Jain,₹172
Only Khada Bhaji,₹170
Only Cheese Khada Bhaji,₹185
Only Cheese Bhaji,₹190
Only Paneer Bhaji,₹180
Pav Single With Butter (1 Pcs),₹25
Pav,₹25
Plain Pav Single,₹10
Butter Extra,₹50
Cheese Extra,₹50
Extra Onion Fry,₹55
Lasson Chatni Fry,₹50
Tea,₹45
Special Tea,₹60
Without Sugar Tea,₹60
Black Tea,₹40
Filter Coffee,₹60
Nescoffee,₹70
Sugar Milk,₹99
Tomato Omlet,₹120
Tomato Butter Omlet,₹130
Tomato Cheese Omlet,₹140
Tomato Paneer Omlet,₹140
Tava Pulav,₹252
Tava Paneer Pulav,₹276
Tava Cheese Pulav,₹276
Tava Cheese Paneer Pulav,₹276
Tava Cheese Mushroom Pulav,₹280
Tava Mushroom Pulav,₹236
Tava Paneer Mushroom Pulav,₹280
Tava Cheese Mushroom Paneer Pulav,₹290
Burger Only Cheese,₹180
Burger Only Veg,₹167
Burger Veg Cheese,₹190
Green Salad,₹125
Tomato Salad,₹125
Veg Raita,₹130
Pineapple Raita (Sweet),₹140
Boondi Raita,₹140
Curd,₹110
Roasted Papad,₹40
Fry Papad,₹50
Masala Papad,₹100
Roasted Masala Papad,₹100
Fruit Spunch Mocktail,₹285
Falooda Rose,₹180
Falooda Kesar,₹180
Falooda Priyanka Special (Dry Fruits),₹205
Falooda Fresh Fruit Cream,₹235
Falooda Kulfi,₹190
Gadbad Ice Cream,₹245
Small Gadbad Ice Cream,₹195
Fruits Salad Airoli Special,₹280
Fruit Salad,₹195
Fruit Salad With Ice Cream,₹220
Salad Jelly With Ice Cream,₹225
Fruits Fruit Salad With Jelly,₹210
Jelly Plain,₹140
Jelly With Ice Cream,₹150
Mango Salad (Seasonal),₹255
Mango Salad With Ice Cream( Seasonal),₹265
Sweet Lassi,₹120
Salted Lassi,₹100
Chass,₹90
Mango Lassi,₹145
Dry Fruit Lassi,₹160
Kesar Lassi,₹120
Rose Lassi,₹120
Fresh Fruits Cream Lassi,₹185
Milk Shake Chicku,₹175
Milk Shake Pineapple,₹170
Milk Shake Apple,₹180
Milk Shake Mango (Tin),₹180
Milk Shake Mango (Seasonal),₹200
Milk Shake Strawberry,₹180
Milk Shake Chocolate,₹180
Milk Shake Vanila,₹155
Milk Shake Rose,₹155
Milk Shake Kesar,₹155
Milk Shake Dry Fruits,₹265
Milk Shake Pista,₹235
Milk Shake Banana,₹150
Milk Shake Badam,₹240
Milk Shake Kesar Pista,₹200
Milk Kesar Badam Shake,₹225
Milk Shake Anjeer,₹235
Milk Shake Kaju Anjeer,₹240
Milk Shake Butter Scotch,₹200
Cold Coffee,₹160
Strawberry Cup,₹34
Vanila Cup,₹32
Butter Scotch Cup,₹52
Cassatta Cut,₹110
Butter Scotch Cone,₹80
Choco Coffee,₹72
Feast Chocolate,₹65
Feast Choco Bar,₹42
Magnum Candy,₹150
Magnum Chocolate Truffle,₹150
Double Chocolate,₹65
Dise Black Forest,₹75
Choco Crunch,₹52
Mini Cornetto Chocolate,₹55
Cornetto Oreo,₹99
Butter Scotch,₹140
Kesar Pista,₹145
Vanila,₹125
Strawberry,₹120
Strawberry & Vanila Mix,₹125
Cocktail Ice Cream,₹180
Butter Scotch & Kesar Pista Mix,₹150
Vanila Party Pack,₹195
Strawberry Party Pack,₹195
Kesar Pista Party Pack,₹290
Butter Scotch Party Pack,₹265
Plate Sambar,₹60
Plate Chatni,₹50
Plate Sukka Bhaji,₹60
Plate Plain Dal,₹90
Extra Schezwan Sauce,₹35
Extra Raita,₹35
Extra Green Chatni,₹35
Extra Fry Noodles,₹45
Soft Drinks (500 Ml),₹85
Mazza 1 Ltr,₹140
Soft Drinks 125 Ltr,₹155
Soft Drinks 2 Ltr,₹180
Mazza 500 Ml,₹85
Red Bull,₹180
Soda 500 Ml,₹45
Fresh Lime Juice,₹80
Sikanjabi Sarabat,₹85
Fresh Lime Soda (Sweet Or Salty),₹110
Ginger Lemon Soda,₹95
Ginger Lemon,₹85
Mineral Water (1 Ltr),₹27
Frooti,₹40
Jal Jeera Soda,₹90
Jal Jeera Juice,₹80
Malai,₹87
Kesar Pista Kulfi,₹80
Badam Pista,₹110
Three In One,₹120
