Name,Price
Jain Manchurian Dry,₹228
Jain Nachos With Beans & Salsa,₹297
Jain Nachos With Cheese & Salsa,₹272
Jain Paneer Chilly Dry,₹297
Jain Loaded Paneer Roll,₹242
Jain Paneer Cheese Chilly Roll,₹254
Jain Roc Bbq Roll,₹254
Jain Tandoori Chinese Roll,₹254
Jain 3 Cheese Pink Sauce Pasta,₹328
Jain Cheese Sauce Pasta,₹315
Jain Exotic Sauce Pasta,₹315
Jain Pink Sauce Pasta,₹315
Jain White Sauce Pasta,₹303
Jain Exotic Style Sandwich,₹260
Jain Fresh Garden Grill Sandwich,₹334
Jain Hariyali Panner Sandwich,₹334
Jain Melting Sandwich,₹259
Jain Mexican Style Melting Sandwich,₹260
Jain Open Cheese Chilly,₹242
Jain Paneer Cheese Chilly Grill,₹335
Jain Pink Panther Sandwich,₹347
Jain Sea Saw Sandwich,₹347
Jain Tandoori Melting Sandwich,₹297
Jain Veg Cheese Grill Sandwich,₹268
Jain Veg Grill Sandwich,₹200
Jain Veg Mayo Cheese Grill Sandwich,₹277
Jain Volcano Sandwich,₹362
Jain Bombay Chilly Noodles,₹352
Jain Bombay Chilly Rice,₹352
Jain Hakka Noodles,₹264
Jain Manchurian Chopper Noodles,₹352
Jain Manchurian Chopper Rice,₹352
Jain Schezwan Noodles,₹300
Jain Schezwan Rice,₹290
Jain Triple Noodles,₹315
Jain Triple Rice,₹315
Jain Veg Fried Rice,₹253
Jain Bbq Pizza,₹357
Jain Exotic Pizza,₹357
Jain Farm Fresh Pizza,₹357
Jain Melting Pizza,₹328
Jain Mexican Pizza,₹357
Jain Paneer Chilly Pizza,₹357
Jain Paneer Dominator Pizza,₹357
Jain Paneer Punch Pizza,₹357
Jain Paneer Tikka Pizza,₹357
Jain Schezwan Paneer Pizza,₹305
Jain Tandoori Melting Pizza,₹357
Aloo Chilly Dry,₹228
Bruschetta With Cheese,₹220
Cheese Garlic Bread,₹165
Creamy Cheese Garlic Bread,₹196
Garlic Bread,₹140
Manchurian Dry,₹228
Mexican Bhel,₹297
"Nachos With Beans, Cheese And Salsa",₹297
Nachos With Cheese And Salsa,₹272
Paneer Chilly Dry,₹297
Paneer Tikka Platter,₹163
Stuffed Garlic Bread,₹209
Veg Mix Tikka,₹242
Bbq Cheese Fries,₹241
Cheese Fries,₹228
Exotic Fries,₹260
Masala Fries,₹184
Masala Pan Fries,₹260
Mayo Salsa Cheese Fries,₹219
Peri Peri Cheese Fries,₹260
Peri Peri Fries,₹209
