Name,Price
Veg Uttaranchali,₹280
Veg Sham Savera,₹290
Paneer Achari Masala,₹295
Paneer Lahori,₹290
Veg Kadhai Bhuna,₹290
Kadhai Mushroom Jalfreize,₹310
Veg Punchmela,₹280
Paneer Lajeez,₹330
Veg Chop Masala,₹280
Pav Bhaji + 2 Pavs + Tawa Pulav + Raita,₹459
Paneer Tikka Masala + 3 Butter Naan + Veg Briryani,₹659
Triple Schezwan Rice + Paneer Chilli Dry,₹599
Idli + Vada + Sada Dosa + Masala Dosa,₹439
Veg Kolhapuri + 3 Butter Roti + Paneer Tikka Biryani + Thums Up,₹689
Shiv Sagar Special Pizza + Thums Up,₹429
Tomato Soup With Cream,₹160
Veg Soup With Cream,₹160
Palak Soup With Cream,₹180
Mushroom Soup With Cream,₹195
Veg Sweet Corn Soup,₹170
Plain Soup,₹160
Veg Hot And Sour Soup,₹170
Veg Manchow Soup,₹170
Veg Talumein Soup,₹170
Veg Lung Fung Soup,₹170
Veg Sweet Com Mushroom Soup,₹180
Mix Veg Soup,₹160
Veg Clear Soup.,₹160
Veg Clear Noodles Soup,₹170
Veg Spicy Green Peas Soup,₹170
Baby Corn Soup,₹180
Hot And Sour Wanton Soup,₹180
Veg Mushroom Soup,₹180
Lemon Coriander Soup,₹180
Broccoli Soup with Cream,₹190
Chinese Bhel,₹250
Veg Manchurian Dry,₹260
Shiv Sagar Chinese Special,₹295
Corn Toast,₹270
Veg Wonton Dry,₹280
Paneer Pepper Chilly Dry,₹300
Special Green Pepper Chilli Dry,₹310
Crispy Veg Dry,₹280
Crispy Mushroom Chilly Dry,₹310
Baby Corn Paneer Chilly,₹310
Paneer Chilly Dry,₹295
Shanghai Paneer,₹295
French Chilli Dry,₹270
Schezwan French Chilly Dry,₹260
Paneer Crispy,₹290
Cauliflower Chilly Dry,₹270
Spring Rolls,₹260
Veg Lollipop,₹280
Veg 65 Dry,₹270
Paneer 65 Dry,₹290
Honey Chilli Potato,₹290
Kung Pao Potato,₹280
Kung Pao Paneer,₹295
Thread Paneer,₹295
Black Pepper Paneer,₹295
Paneer Chilli Spring Roll,₹290
Bruschetta,₹280
Cheese Garlic Bread,₹250
Cheese Corn Balls,₹250
Cheese Chilli Toast,₹240
Peri Peri Fries,₹220
Salted Fries,₹220
Veg Diwani Handi,₹280
Veg Maharaja Kofta,₹295
Veg Corn Mushroom Palak,₹280
Veg Chow Masala,₹280
Veg Keema Kadhai,₹290
Shiv Sagar Special Tawa,₹305
Veg Punchwati,₹290
Kashmiri Kofta,₹290
Peshawari Kofta,₹285
Veg Seekh Kabab Masala,₹270
Hariyali Kabab Masala,₹270
Lahori Masala,₹270
Veg Lollipop Masala,₹280
Kadhai Lajawab,₹280
Kadhai Dingri,₹270
Kadhai Vegetable,₹275
Kadhai Gobi,₹270
Kadhai Hyderabadi,₹280
Kadhai Baby Corn Masala,₹295
Veg Tawa,₹290
Shiv Sagar Special Kadhai,₹305
Baby Corn Mushroom Tawa,₹295
Plain Palak,₹240
Lasooni Palak,₹250
Tomato Palak,₹240
Palak Makhai,₹250
Palak Matar,₹250
Aloo Palak,₹250
Aloo Sukha Bhaji,₹210
Aloo Flower,₹250
