Name,Price
Aglio Olio Pasta,₹280
Bolognese Pasta,₹299
Farfalle Alfredo Pasta,₹290
Farfalle Fajita Pasta,₹280
Fusilli Alfredo,₹290
Fusilli Arrabbiata Pasta,₹290
Mac And Cheese Pasta,₹280
Penne Mamarosa Pasta ( Pink Sauce),₹299
Penne Mushroom And Dil Pasta,₹290
Penne One Pot Pasta,₹290
Penne Pesto Pasta,₹299
Spaghetti In Alfredo Sauce,₹309
Spaghetti In Arrabiata,₹309
Spaghetti In Mama Rosa (pink Sauce),₹310
Spaghetti In Mushroom Sauce,₹310
Spaghetti In Pesto Sauce,₹310
Veggie Rotini Pasta (pasta Salad),₹270
Makhani Flavoured Pasta,₹290
Masala Macraoni,₹270
Tikka Twist Pasta,₹290
Fusilli Arrabiata (baked Pasta),₹349
Mac N' Cheese (baked Pasta),₹339
Penne Mamarosa(baked Pasta),₹359
Mexican Kulcha,₹269
Paneer Makhani,₹279
Paneer Tikka Kulcha,₹279
Punjabi Tadka Kulcha,₹279
Yummy Wheels Special Kulcha,₹269
Cheese With Beans,₹260
Double Cheesy Nachos,₹280
Loaded Nachos,₹299
Peppery Jalapeno,₹250
Barbecue Paneer Burgers,₹230
Double Cheese Burgers,₹260
Fusion Burgers,₹230
Yummy Wheels Special Burgers,₹180
Cheese French Fries,₹209
Loaded French Fries,₹239
Mayo Chilli Sauce French Fries,₹209
Peri Peri French Fries,₹148
Regular French Fries,₹130
Cheese Garlic Bread,₹179
Corn Cheese Garlic Bread,₹209
Paneer Garlic Bread,₹229
Plain Garlic Bread,₹119
Blue Lagoon,₹139
Brownie Shake,₹189
Cold Coffee,₹159
Green Apple Mojito,₹139
Lemon Iced Tea,₹129
Mint Mojito,₹129
Orange Mojito,₹139
Oreo Shake,₹159
Peach Iced Tea,₹129
Pink Lemonade,₹129
Watermelon Mojito,₹139
Chocolate Brownie,₹160
Hazlenut Brownie,₹190
Alfredo + Cheese Garlic Bread,₹399
Alfredo + Mint Mojito / Lemon Ice Tea,₹389
Arrabbiata + Cheese Garlic Bread,₹379
Arrabiata + Lemon Iced Tea / Pink Lemonade,₹379
Mamarosa + Peach Iced Tea / Blue Lagoon,₹409
Peri Peri Fries+ Yummy Wheels Burger,₹279
Pizza In Kulcha + Pink Lemonade,₹379
