Name,Link
Ahmed Bhai's Bry & Dry,https://www.zomato.com/mumbai/ahmed-bhais-bry-dry-nerul-navi-mumbai
Aaswad,https://www.zomato.com/mumbai/aaswad-2-dadar-west
The American Joint,https://www.zomato.com/mumbai/the-american-joint-bandra-kurla-complex
Aromas Cafe & Bistro,https://www.zomato.com/mumbai/aromas-cafe-bistro-powai
AnnCensored-अन्नCensored,https://www.zomato.com/mumbai/anncensored-censored-lower-parel
Amar Fast Food & Juice Centre,https://www.zomato.com/mumbai/amar-fast-food-juice-centre-vile-parle-west
Asilo - The St. Regis Mumbai,https://www.zomato.com/mumbai/asilo-the-st-regis-mumbai-lower-parel
Asian Wok,https://www.zomato.com/mumbai/asian-wok-powai
Asia Kitchen By Mainland China,https://www.zomato.com/mumbai/asia-kitchen-by-mainland-china-goregaon-east
Alfredo's,https://www.zomato.com/mumbai/alfredos-andheri-lokhandwala
Arya Bhavan,https://www.zomato.com/mumbai/arya-bhavan-matunga-east
Aer - Four Seasons,https://www.zomato.com/mumbai/aer-four-seasons-worli
A.Rama Nayak's Udipi Shri Krishna Boarding - Since 1942,https://www.zomato.com/mumbai/a-rama-nayaks-udipi-shri-krishna-boarding-since-1942-matunga-east
Alfredo's,https://www.zomato.com/mumbai/alfredos-juhu
Amadeus Lounge,https://www.zomato.com/mumbai/amadeus-lounge-nariman-point
Anda Apna Apna,https://www.zomato.com/mumbai/anda-apna-apna-azad-nagar
Asian Street Kitchen,https://www.zomato.com/mumbai/asian-street-kitchen-chowpatty
Andy's Bar and Kitchen,https://www.zomato.com/mumbai/andys-bar-and-kitchen-malad-west
AndaMental - The Express Cafe,https://www.zomato.com/mumbai/andamental-the-express-cafe-azad-nagar
All Stir Fry - Gordon House Hotel,https://www.zomato.com/mumbai/all-stir-fry-gordon-house-hotel-colaba
The Angrezi Pub,https://www.zomato.com/mumbai/the-angrezi-pub-cbd-belapur-navi-mumbai
Abstrakt Bistro and Lounge,https://www.zomato.com/mumbai/abstrakt-bistro-and-lounge-chembur
Asia Kitchen By Mainland China,https://www.zomato.com/mumbai/asia-kitchen-by-mainland-china-lower-parel
Apna Dhaba,https://www.zomato.com/mumbai/apna-dhaba-chakala
The Appetite Momos,https://www.zomato.com/mumbai/the-appetite-momos-naupada-thane-west-thane
Ayub's,https://www.zomato.com/mumbai/ayubs-fort
Arabian Chillies Restaurant,https://www.zomato.com/mumbai/arabian-chillies-restaurant-nerul-navi-mumbai
Ambience Bar & Kitchen,https://www.zomato.com/mumbai/ambience-bar-kitchen-lower-parel
Aye Dios Mio,https://www.zomato.com/mumbai/aye-dios-mio-marine-lines
Achija,https://www.zomato.com/mumbai/achija-1-ghatkopar-east
Aqaba,https://www.zomato.com/mumbai/aqaba-lower-parel
AKA Restaurant,https://www.zomato.com/mumbai/aka-restaurant-worli
Ambience All Day Dining,https://www.zomato.com/mumbai/ambience-all-day-dining-kandivali-east
Afzal Restaurant,https://www.zomato.com/mumbai/afzal-restaurant-byculla
Asado - The Cocktail Street,https://www.zomato.com/mumbai/asado-the-cocktail-street-bandra-talao-bandra-west
Auriga Restobar,https://www.zomato.com/mumbai/auriga-restobar-mahalaxmi
Abhinandan,https://www.zomato.com/mumbai/abhinandan-ghatkopar-west
Ali Baba Multicuisine Restaurant,https://www.zomato.com/mumbai/ali-baba-multicuisine-restaurant-vashi-navi-mumbai
Alibii,https://www.zomato.com/mumbai/alibi-colaba
Ashok Vada Pav Stall,https://www.zomato.com/mumbai/ashok-vada-pav-stall-prabhadevi
Amar Fast Food & Restaurant,https://www.zomato.com/mumbai/amar-fast-food-restaurant-vashi-navi-mumbai
Aromas Cafe & Bistro,https://www.zomato.com/mumbai/aromas-cafe-bistro-vile-parle-west
Apsara Ice Creams,https://www.zomato.com/mumbai/apsara-ice-creams-andheri-lokhandwala
Aquafire Restaurant,https://www.zomato.com/mumbai/aquafire-restaurant-vile-parle-east
Apsara Ice Creams,https://www.zomato.com/mumbai/apsara-ice-creams-powai
Aditi,https://www.zomato.com/mumbai/aditi-parel
Aram,https://www.zomato.com/mumbai/aram-cst
Aromas Cafe & Bistro,https://www.zomato.com/mumbai/aromas-cafe-bistro-manpada-thane-west-thane
Acharekar's Malvan Katta,https://www.zomato.com/mumbai/acharekars-malvan-katta-dadar-west
Amar Fast Food and Restaurant,https://www.zomato.com/mumbai/amar-fast-food-and-restaurant-near-andheri-west-station
All Stir Fry - Waterstones Hotel,https://www.zomato.com/mumbai/all-stir-fry-waterstones-hotel-marol
Amantran Fine Dine,https://www.zomato.com/mumbai/amantran-fine-dine-mulund-west
Aura Always Veg,https://www.zomato.com/mumbai/aura-always-veg-borivali-west
Amrut Sagar Fast Food,https://www.zomato.com/mumbai/amrut-sagar-fast-food-hill-road-bandra-west
Amar Fast Food & Restaurant,https://www.zomato.com/mumbai/amar-fast-food-restaurant-borivali-west
Air Lounge,https://www.zomato.com/mumbai/air-lounge-malad-west
Anand Bhavan,https://www.zomato.com/mumbai/anand-bhavan-matunga-east
Aromas Cafe,https://www.zomato.com/mumbai/aromas-cafe-kurla
Apoorva Delicacies,https://www.zomato.com/mumbai/apoorva-delicacies-dadar-shivaji-park
Aoi,https://www.zomato.com/mumbai/aoi-bandstand-bandra-west
Anand Stall,https://www.zomato.com/mumbai/anand-stall-vile-parle-west
Apoorva,https://www.zomato.com/mumbai/apoorva-fort
Almond Flowerr,https://www.zomato.com/almondflowerr
Artisan - Sofitel,https://www.zomato.com/mumbai/artisan-sofitel-bandra-kurla-complex
The Avenue,https://www.zomato.com/mumbai/the-avenue-kandivali-east
Amar Fast Food & Juice Centre,https://www.zomato.com/mumbai/amar-fast-food-juice-centre-chowpatty
Ashwith Family Dining Bar,https://www.zomato.com/mumbai/ashwith-family-dining-bar-cbd-belapur-navi-mumbai
Aaswad,https://www.zomato.com/mumbai/aaswad-ghatkopar-east
Ambrosia The Bake Shop,https://www.zomato.com/mumbai/ambrosia-the-bake-shop-chembur
Aditi Fast Food,https://www.zomato.com/mumbai/aditi-fast-food-malad-west
Aurus,https://www.zomato.com/mumbai/aurus-juhu
Alfredo's,https://www.zomato.com/mumbai/alfredos-majiwada-thane-west
Amey,https://www.zomato.com/mumbai/amey-bandra-east
Appointment,https://www.zomato.com/mumbai/appointment-7-bungalows
Alps Restaurant and Beer Bar,https://www.zomato.com/mumbai/alps-restaurant-and-beer-bar-colaba
A1 Famous Dum Biryani,https://www.zomato.com/mumbai/a1-famous-dum-biryani-kharghar-navi-mumbai
Ayyappan Idli,https://www.zomato.com/mumbai/ayyappan-idli-1-matunga-east
Ahmed Bhai's Bry & Dry,https://www.zomato.com/mumbai/ahmed-bhais-bry-dry-mumbra
Aditi Fast Food,https://www.zomato.com/mumbai/aditi-fast-food-vile-parle-east
Ankur - The Coastal Bistro,https://www.zomato.com/mumbai/ankur-the-coastal-bistro-fort
Aditya,https://www.zomato.com/mumbai/aditya-chembur
Ab's,https://www.zomato.com/mumbai/abs-mahim
Ambretto,https://www.zomato.com/mumbai/ambretto-mahim
Achija,https://www.zomato.com/mumbai/achija-2-ghatkopar-east
Asian Kitchen - Four Points By Sheraton,https://www.zomato.com/mumbai/asian-kitchen-four-points-by-sheraton-vashi-navi-mumbai
Achija,https://www.zomato.com/mumbai/achija-mulund-west
A1 Bakery,https://www.zomato.com/mumbai/a1-bakery-hill-road-bandra-west
Ammi's Biryani,https://www.zomato.com/mumbai/ammis-biryani-marol
Amritsari Kulcha Junction,https://www.zomato.com/mumbai/amritsari-kulcha-junction-1-jogeshwari
Ark Vegetarian,https://www.zomato.com/mumbai/ark-vegetarian-kandivali-west
Asado The Grill,https://www.zomato.com/mumbai/asado-the-grill-bandra-talao-bandra-west
The American Express Bakery,https://www.zomato.com/mumbai/the-american-express-bakery-hill-road-bandra-west
Aradhana Coastal Delight,https://www.zomato.com/mumbai/aradhana-coastal-delight-linking-road-bandra-west
Anna Kadai,https://www.zomato.com/mumbai/anna-kadai-dombivali-east
Atithi,https://www.zomato.com/mumbai/atithi-mulund-west
Aaron's Bake N Brew House,https://www.zomato.com/mumbai/aarons-bake-n-brew-house-malad-west
Arsalan,https://www.zomato.com/mumbai/arsalan-khar
Aqua - Sun N Sand Hotel,https://www.zomato.com/mumbai/aqua-sun-n-sand-hotel-juhu
ARK - Courtyard By Marriott,https://www.zomato.com/mumbai/ark-courtyard-by-marriott-chakala
Asiad,https://www.zomato.com/mumbai/asiad-vile-parle-west
Ammi's Biryani,https://www.zomato.com/mumbai/ammis-biryani-veera-desai-area
New Punjabi Tadka,https://www.zomato.com/mumbai/new-punjabi-tadka-powai
Amaya Indian Grill & Kitchen,https://www.zomato.com/mumbai/amaya-indian-grill-kitchen-kurla
Arola Restaurant And Bar - JW Marriott Mumbai Juhu,https://www.zomato.com/mumbai/arola-restaurant-and-bar-jw-marriott-mumbai-juhu-juhu
Amba Bhavan,https://www.zomato.com/mumbai/amba-bhavan-matunga-east
Amruta Veg. Treat,https://www.zomato.com/mumbai/amruta-veg-treat-mulund-west
Amar Fast Food & Restaurant,https://www.zomato.com/mumbai/amar-fast-food-restaurant-panch-pakhadi-thane-west
Aditi Fast Food,https://www.zomato.com/mumbai/aditi-fast-food-sakinaka
Arfat,https://www.zomato.com/mumbai/arfat-mira-road
Amazing China,https://www.zomato.com/mumbai/amazing-china-lower-parel
Aditi Fast Food,https://www.zomato.com/mumbai/aditi-fast-food-near-andheri-west-station
Alankar,https://www.zomato.com/mumbai/alankar-worli
Ashmick's Snack Shack,https://www.zomato.com/mumbai/ashmicks-snack-shack-pali-hill-bandra-west
Amruta Snacks,https://www.zomato.com/mumbai/amruta-snacks-naupada-thane-west-thane
Asian Wok,https://www.zomato.com/mumbai/asian-wok-bhandup
Appetite Restaurant,https://www.zomato.com/mumbai/appetite-restaurant-chakala
Apsara Ice Creams,https://www.zomato.com/mumbai/apsara-ice-creams-vile-parle-west
Anna Punjabi Veg Restaurant,https://www.zomato.com/mumbai/anna-punjabi-veg-restaurant-chakala
Aarey Garden Restaurant,https://www.zomato.com/mumbai/aarey-garden-restaurant-goregaon-east
Apsara Ice Creams,https://www.zomato.com/mumbai/apsara-ice-creams-1-naupada-thane-west-thane
Asia Seven,https://www.zomato.com/mumbai/asia-seven-lower-parel
Ammi's Biryani,https://www.zomato.com/mumbai/ammis-biryani-malad-west
Annaleela,https://www.zomato.com/mumbai/annaleela-marol
Ammi's Biryani,https://www.zomato.com/mumbai/ammis-biryani-vikhroli
Art House - The Fern Residency,https://www.zomato.com/mumbai/art-house-the-fern-residency-chembur
Ambrosia Family Garden Restaurant and Bar,https://www.zomato.com/mumbai/ambrosia-family-garden-restaurant-and-bar-owale-thane-west
Amma's,https://www.zomato.com/mumbai/ammas-malad-west
Al Rehmani Restaurant,https://www.zomato.com/mumbai/al-rehmani-restaurant-mazgaon
Amritsar Express,https://www.zomato.com/mumbai/amritsar-express-malad-west
Atrium Bar & Lounge - Taj Lands End,https://www.zomato.com/mumbai/atrium-bar-lounge-taj-lands-end-bandstand-bandra-west
Aavishkar Dining Bar,https://www.zomato.com/mumbai/aavishkar-dining-bar-bhandup
Ayaz's The Kebab Place,https://www.zomato.com/mumbai/ayazs-the-kebab-place-juhu
Amar Fast Food & Restaurant,https://www.zomato.com/mumbai/amar-fast-food-restaurant-ulhasnagar-thane
The Appetite Momos,https://www.zomato.com/mumbai/the-appetite-momos-bhandup
Achija,https://www.zomato.com/mumbai/achija-nerul-navi-mumbai
The Arabian Twist,https://www.zomato.com/mumbai/the-arabian-twist-vashi-navi-mumbai
Astrix,https://www.zomato.com/mumbai/astrix-chembur
Avanti,https://www.zomato.com/mumbai/avanti-bhandup
Aangan Dhaba,https://www.zomato.com/mumbai/aangan-dhaba-dombivali-east
Amar Fast Food & Juice Centre,https://www.zomato.com/mumbai/amar-fast-food-juice-centre-chakala
Aashirwad,https://www.zomato.com/mumbai/aashirwad-borivali-west
Akarshan,https://www.zomato.com/mumbai/akarshan-vikhroli
Aram,https://www.zomato.com/mumbai/aram-fort
Aroma Family Restaurant & Bar,https://www.zomato.com/mumbai/aroma-family-restaurant-bar-juhu
Arpan Family Dining Bar,https://www.zomato.com/mumbai/arpan-family-dining-bar-vikhroli
Aparna,https://www.zomato.com/mumbai/aparna-sion
Ashben's,https://www.zomato.com/mumbai/ashbens-borivali-west
Apsara Ice Creams,https://www.zomato.com/mumbai/apsara-ice-creams-nerul-navi-mumbai
Alok Restaurant,https://www.zomato.com/mumbai/alok-restaurant-naupada-thane-west
Adarsha,https://www.zomato.com/mumbai/adarsha-dadar-west
Ammi's Biryani,https://www.zomato.com/mumbai/ammis-biryani-mira-road
Ammi's Biryani,https://www.zomato.com/mumbai/ammis-biryani-versova
Aditya Pure Veg,https://www.zomato.com/mumbai/aditya-pure-veg-bhandup
Ammi's Biryani,https://www.zomato.com/mumbai/ammis-biryani-kandivali-east
Archana Restaurant,https://www.zomato.com/mumbai/archana-restaurant-mulund-west
Ashish Dining Pure Veg,https://www.zomato.com/mumbai/ashish-dining-pure-veg-owale-thane-west
Ayza Restaurant,https://www.zomato.com/mumbai/ayza-restaurant-vasant-vihar-thane-west
Asian Spice,https://www.zomato.com/mumbai/asian-spice-vasai
Afra Mughlai Darbar,https://www.zomato.com/mumbai/afra-mughlai-darbar-marol
Amar Punjab,https://www.zomato.com/mumbai/amar-punjab-panch-pakhadi-thane-west
Hotel Abhiman Restaurant And Bar,https://www.zomato.com/mumbai/hotel-abhiman-restaurant-and-bar-khopat-thane-west-thane
Aroma The Food Place,https://www.zomato.com/mumbai/aroma-the-food-place-mahim
Apsara Ice Creams,https://www.zomato.com/mumbai/apsara-ice-creams-matunga-east
Anda Apna Apna,https://www.zomato.com/mumbai/anda-apna-apna-veera-desai-area
All Season's Kitchen & Bar,https://www.zomato.com/mumbai/all-seasons-kitchen-bar-borivali-east
Ammi's Biryani,https://www.zomato.com/mumbai/ammis-biryani-airoli-navi-mumbai
